date,time,price
20070108,1120,99.1
20070108,1125,99.04
20070108,1130,98.98
20070108,1135,98.94
20070108,1140,98.89
20070108,1145,98.98
20070108,1150,98.99
20070108,1155,99.01
20070108,1200,99.11
20070108,1205,99.21
20070108,1210,99.27
20070108,1215,99.17
20070108,1220,99.11
20070108,1225,98.99
20070108,1230,99.0
20070108,1235,99.05
20070108,1240,99.02
20070108,1245,98.9
20070108,1250,99.06
20070108,1255,99.07
20070108,1300,99.1
20070108,1305,99.0
20070108,1310,99.06
20070108,1315,99.17
20070108,1320,99.22
20070108,1325,99.18
20070108,1330,99.34
20070108,1335,99.45
20070108,1340,99.29
20070108,1345,99.35
20070108,1350,99.4
20070108,1355,99.44
20070108,1400,99.23
20070108,1405,99.25
20070108,1410,99.22
20070108,1415,99.3
20070108,1420,99.25
20070108,1425,99.3
20070108,1430,99.21
20070108,1435,99.15
20070108,1440,99.19
20070108,1445,99.21
20070108,1450,99.28
20070108,1455,99.29
20070108,1500,99.2
20070108,1505,99.13
20070108,1510,99.22
20070108,1515,99.26
20070108,1520,99.2
20070108,1525,99.09
20070108,1530,99.11
20070108,1535,99.18
20070108,1540,98.93
20070108,1545,99.0
20070108,1550,98.97
20070108,1555,98.85
20070108,1600,98.9
20070109,935,99.12
20070109,940,99.28
20070109,945,99.38
20070109,950,99.31
20070109,955,99.45
20070109,1000,99.6
20070109,1005,99.53
20070109,1010,99.53
20070109,1015,99.45
20070109,1020,99.37
20070109,1025,99.41
20070109,1030,99.46
20070109,1035,99.49
20070109,1040,99.57
20070109,1045,99.53
20070109,1050,99.54
20070109,1055,99.8
20070109,1100,100.0
20070109,1105,99.96
20070109,1110,99.96
20070109,1115,99.93
20070109,1120,99.78
20070109,1125,99.82
20070109,1130,99.8
20070109,1135,99.77
20070109,1140,99.9
20070109,1145,99.8
20070109,1150,99.79
20070109,1155,99.78
20070109,1200,99.71
20070109,1205,99.68
20070109,1210,99.79
20070109,1215,99.89
20070109,1220,99.81
20070109,1225,99.69
20070109,1230,99.8
20070109,1235,99.76
20070109,1240,99.73
20070109,1245,99.76
20070109,1250,99.76
20070109,1255,99.73
20070109,1300,99.81
20070109,1305,99.87
20070109,1310,99.79
20070109,1315,99.86
20070109,1320,99.87
20070109,1325,99.93
20070109,1330,99.95
20070109,1335,99.93
20070109,1340,99.88
20070109,1345,99.98
20070109,1350,99.99
20070109,1355,100.0
20070109,1400,100.05
20070109,1405,100.04
20070109,1410,100.07
20070109,1415,99.94
20070109,1420,99.99
20070109,1425,99.91
20070109,1430,99.98
